kernel,max_gap,min_support_pos,min_support_neg,accuracy,precision,recall,f1,auc
poly,8.0,0.25,0.25,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
poly,8.0,0.25,0.3,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
poly,6.0,0.25,0.3,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
poly,6.0,0.25,0.25,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
poly,7.0,0.25,0.3,0.7930555555555555,0.7420091324200914,0.9002770083102493,0.8135168961201502,0.7927568885562388
poly,10.0,0.15,0.1,0.7916666666666666,0.7425287356321839,0.8947368421052632,0.8115577889447237,0.791379563113913
poly,9.0,0.15,0.1,0.7916666666666666,0.7425287356321839,0.8947368421052632,0.8115577889447237,0.791379563113913
poly,10.0,0.15,0.3,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,10.0,0.15,0.25,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,9.0,0.15,0.25,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,9.0,0.15,0.3,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,10.0,0.15,0.2,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,9.0,0.2,0.2,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,10.0,0.2,0.15,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,9.0,0.2,0.15,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,9.0,0.15,0.2,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,10.0,0.2,0.2,0.7916666666666666,0.7447795823665894,0.889196675900277,0.8106060606060607,0.7913949953317541
poly,8.0,0.25,0.2,0.7902777777777777,0.7408256880733946,0.8947368421052632,0.8105395232120453,0.7899868054537458
poly,7.0,0.25,0.2,0.7902777777777777,0.7408256880733946,0.8947368421052632,0.8105395232120453,0.7899868054537458
poly,10.0,0.25,0.15,0.7902777777777777,0.7408256880733946,0.8947368421052632,0.8105395232120453,0.7899868054537458
poly,6.0,0.25,0.2,0.7902777777777777,0.7408256880733946,0.8947368421052632,0.8105395232120453,0.7899868054537458
poly,9.0,0.25,0.15,0.7902777777777777,0.7408256880733946,0.8947368421052632,0.8105395232120453,0.7899868054537458
poly,9.0,0.2,0.1,0.7902777777777777,0.7419354838709677,0.8919667590027701,0.8100628930817609,0.7899945215626665
poly,10.0,0.2,0.1,0.7902777777777777,0.7419354838709677,0.8919667590027701,0.8100628930817609,0.7899945215626665
poly,9.0,0.25,0.1,0.7888888888888889,0.7380410022779044,0.8975069252077562,0.81,0.788586331684658
poly,10.0,0.25,0.1,0.7888888888888889,0.7380410022779044,0.8975069252077562,0.81,0.788586331684658
poly,9.0,0.25,0.3,0.7875,0.7363636363636363,0.8975069252077562,0.8089887640449439,0.7871935740244909
poly,10.0,0.25,0.25,0.7875,0.7363636363636363,0.8975069252077562,0.8089887640449439,0.7871935740244909
poly,10.0,0.25,0.3,0.7875,0.7363636363636363,0.8975069252077562,0.8089887640449439,0.7871935740244909
poly,9.0,0.25,0.25,0.7875,0.7363636363636363,0.8975069252077562,0.8089887640449439,0.7871935740244909
poly,10.0,0.25,0.2,0.7861111111111111,0.7357630979498861,0.8947368421052632,0.8075,0.7858085324732444
poly,9.0,0.25,0.2,0.7861111111111111,0.7357630979498861,0.8947368421052632,0.8075,0.7858085324732444
linear,4.0,0.1,0.3,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
linear,4.0,0.1,0.2,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
linear,4.0,0.1,0.25,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
linear,5.0,0.1,0.2,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
linear,5.0,0.1,0.25,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
linear,5.0,0.1,0.3,0.7916666666666666,0.7566909975669099,0.8614958448753463,0.805699481865285,0.79147215642096
rbf,4.0,0.1,0.1,0.7916666666666666,0.7592137592137592,0.8559556786703602,0.8046875,0.7914875886388012
linear,4.0,0.25,0.1,0.7888888888888889,0.7632241813602015,0.8393351800554016,0.7994722955145119,0.7887483699719905
linear,4.0,0.3,0.1,0.7888888888888889,0.7632241813602015,0.8393351800554016,0.7994722955145119,0.7887483699719905
linear,4.0,0.2,0.25,0.7861111111111111,0.7581047381546134,0.8421052631578947,0.7979002624671917,0.7859551385427357
